Pos.X,Pos.Y,Pos.Z,Lat,Lon,Alt
4438536.937786618,3085403.9035086036,3376938.4350600094,32.16670230776335,34.80470319700689,1586.8688293797895
4434962.066404636,3084226.345458844,3374381.900230744,32.164504431992654,34.816089993035945,-2827.8229289725423
4439099.880475208,3086224.9832596625,3377297.726446855,32.164976456338906,34.80844279063838,2566.1637699175626
4435063.3179159835,3084401.0151327364,3374450.867172713,32.16415294241703,34.816997799121424,-2636.3182520670816
4436895.1879622545,3085311.028773234,3376332.4418479283,32.16880246583928,34.81382971182569,78.31220992933959
4436859.787447066,3085277.337686518,3376307.1990735363,32.16884167107953,34.81375072324593,23.988611113280058
4435644.987578519,3083518.7160143545,3375071.8649603142,32.169020748991414,34.8057928534029,-2327.8141754465178
4436872.856654194,3085287.3560501626,3376325.2550093154,32.16890052209008,34.81375882171953,47.52594458963722
4436880.702632097,3085288.7107172324,3376330.5653993213,32.16890641746763,34.81372312258013,56.46068827714771
4436888.682226174,3085288.716610018,3376321.4162771543,32.16880510687169,34.813674874362015,57.13799793366343
4436876.875458932,3085286.1672608363,3376318.1143632596,32.16883343084598,34.813724148476695,45.94260553922504
4435670.710286505,3085270.6545510422,3375070.766086386,32.1641075834355,34.82089122908509,-1463.8571551125497
4435074.724193355,3084400.5422409866,3374453.127220249,32.16412652555797,34.81692460947812,-2627.416533779353
4435675.594970451,3085277.346866475,3375070.9552121805,32.16407142268382,34.82091991088729,-1457.1269517578185
4435660.689463698,3085258.1745860185,3375064.612783235,32.16413431917071,34.820843263297576,-1480.129334937781
4436886.458427836,3085296.7816108586,3376319.9993954264,32.16878095022978,34.81375853653313,58.73568755481392
4436884.123468207,3085286.9185769064,3376322.6684364076,32.16883756394797,34.813686816955986,53.76752413250506
4436887.3971275985,3085285.706649809,3376329.445668002,32.168879715379866,34.81365645267116,59.06525663565844
4436902.022354482,3085279.468225515,3376338.9769665315,32.168911921013134,34.81351362583568,71.28922503534704
4436886.931285642,3085272.4592545303,3376316.5087452056,32.16881911008106,34.813543960068024,45.451690020971
4436904.3541708505,3085268.3040246544,3376322.9512878167,32.16881099950506,34.81340233268852,58.98220757488161
